NOME,ENTIDADE_PROMOTORA,ANO_DA_PREMIACAO
Premio Zeferino Vaz de excelencia academica,UNICAMP,1997
Newton Faller,Sociedade Brasileira de Computação,2000
Melhor dissertacao de mestrado - orientando Sandro Matias - em Geoprocessamento,GIS-Brasil,2000
Premio Zeferino Vaz de excelencia academica,UNICAMP,2001
"Melhor artigo do XVI Simpósio Brasileiro de Bancos de Dados, 2001 (Prêmio José Mauro Castilho) ""Documenting Changes in a Spatiotemporal Database"" - Anais, pp 10-24",Sociedade Brasileira de Computacao,2001
"Primeiro lugar, concurso teses de doutorado (CTD) - orientando Ricardo Torres -  (Concurso de Teses e Dissertacoes) da Sociedade Brasileira de Computacao",Sociedade Brasileira de Computacao,2005
Change Agent Award,ACM e Anita Borg Institute - EUA,2006
Doutor Honoris Causa,Universidad Privada Antenor Orrego - Trujillo - Peru,2007
"Primeiro lugar, concurso de dissertacoes de mestrado (CTD) - orientanda Jaudete Daltio",Sociedade Brasileira de Computacao,2008
Terceiro lugar de concurso de tese de doutorado (CTD) - co-orientando Luciano Antonio Digiampietri,Sociedade Brasileira de Computacao,2008
"Ordem Nacional do Merito Cientifico, classe Comendador - Ciências Tecnológicas",Presidência da República,2008
Google Women in Information Technology,Google Brasil,2008
"Mencao Honrosa, Prêmio CAPES de Teses 2008 - Luciano Antonio Digiampietri (co-orientadora)",CAPES,2009
Premio Zeferino Vaz de excelencia academica,UNICAMP,2009
"Artigo premiado, primeiro lugar, na conferencia GEOINFO 2011",Comite do GEOINFO,2011
"Artigo premiado, 3o lugar, conferencia GEOINFO 2012",Comite do GEOINFO/SBC,2012
ACM Distinguished Speaker,"Association for Computing Machinery, USA",2012
"Premio de Reconhecimento Docente pela Dedicacao ao Ensino de Graduacao (premio so concedido uma vez, pela carreira)",UNICAMP,2013
Dr Honoris Causa,"Universite Paris Dauphine, Franca",2015
