NOME-COMPLETO-DO-PARTICIPANTE-DE-EVENTOS-CONGRESSOS,NOME-PARA-CITACAO-DO-PARTICIPANTE-DE-EVENTOS-CONGRESSOS,ORDEM-PARTICIPANTE,NRO-ID-CNPQ,PARTICIPACAO-EM-CONGRESSO_Id,PARTICIPACAO-EM-SEMINARIO_Id,PARTICIPACAO-EM-SIMPOSIO_Id,PARTICIPACAO-EM-OFICINA_Id,PARTICIPACAO-EM-ENCONTRO_Id,OUTRAS-PARTICIPACOES-EM-EVENTOS-CONGRESSOS_Id
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.;MENDES, Adriana N. A.;MENDES, ADRIANA","1","1620607218993565",,,,0,,
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.;MENDES, Adriana N. A.;MENDES, ADRIANA","1","1620607218993565",,,,,0,
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.;MENDES, Adriana N. A.;MENDES, ADRIANA","1","1620607218993565",,,,,1,
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.;MENDES, Adriana N. A.;MENDES, ADRIANA","1","1620607218993565",,,,,2,
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.;MENDES, Adriana N. A.;MENDES, ADRIANA","1","1620607218993565",,,,,3,
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.;MENDES, Adriana N. A.;MENDES, ADRIANA","1","1620607218993565",,,,,4,
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.;MENDES, Adriana N. A.;MENDES, ADRIANA","1","1620607218993565",,,,,5,
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.;MENDES, Adriana N. A.;MENDES, ADRIANA","1","1620607218993565",,,,,6,
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.;MENDES, Adriana N. A.;MENDES, ADRIANA","1","1620607218993565",,,,,7,
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.;MENDES, Adriana N. A.;MENDES, ADRIANA","1","1620607218993565",,,,,8,
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.;MENDES, Adriana N. A.;MENDES, ADRIANA","1","1620607218993565",,,,,9,
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.;MENDES, Adriana N. A.;MENDES, ADRIANA","1","1620607218993565",,,,,10,
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.;MENDES, Adriana N. A.;MENDES, ADRIANA","1","1620607218993565",,,,,11,
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.;MENDES, Adriana N. A.;MENDES, ADRIANA","1","1620607218993565",,,,,12,
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.;MENDES, Adriana N. A.;MENDES, ADRIANA","1","1620607218993565",,,,,13,
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.;MENDES, Adriana N. A.;MENDES, ADRIANA","1","1620607218993565",,,,,14,
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.;MENDES, Adriana N. A.;MENDES, ADRIANA","1","1620607218993565",,,,,15,
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.;MENDES, Adriana N. A.;MENDES, ADRIANA","1","1620607218993565",,,,,16,
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.;MENDES, Adriana N. A.;MENDES, ADRIANA","1","1620607218993565",,,,,17,
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.;MENDES, Adriana N. A.;MENDES, ADRIANA","1","1620607218993565",,,,,18,
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.;MENDES, Adriana N. A.;MENDES, ADRIANA","1","1620607218993565",,,,,19,
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.;MENDES, Adriana N. A.;MENDES, ADRIANA","1","1620607218993565",,,,,,0
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.;MENDES, Adriana N. A.;MENDES, ADRIANA","1","1620607218993565",,,,,,1
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.;MENDES, Adriana N. A.;MENDES, ADRIANA","1","1620607218993565",,,,,,2
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.;MENDES, Adriana N. A.;MENDES, ADRIANA","1","1620607218993565",,,,,,3
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.;MENDES, Adriana N. A.;MENDES, ADRIANA","1","1620607218993565",,,,,,4
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.;MENDES, Adriana N. A.;MENDES, ADRIANA","1","1620607218993565",,,,,,5
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.;MENDES, Adriana N. A.;MENDES, ADRIANA","1","1620607218993565",,,,,,6
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.;MENDES, Adriana N. A.;MENDES, ADRIANA","1","1620607218993565",,,,,,7
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.;MENDES, Adriana N. A.;MENDES, ADRIANA","1","1620607218993565",,,,,,8
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.;MENDES, Adriana N. A.;MENDES, ADRIANA","1","1620607218993565",,,,,,9
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.;MENDES, Adriana N. A.;MENDES, ADRIANA","1","1620607218993565",,,,,,10
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.;MENDES, Adriana N. A.;MENDES, ADRIANA","1","1620607218993565",,,,,,11
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.;MENDES, Adriana N. A.;MENDES, ADRIANA","1","1620607218993565",,,,,,12
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.;MENDES, Adriana N. A.;MENDES, ADRIANA","1","1620607218993565",,,,,,13
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.;MENDES, Adriana N. A.;MENDES, ADRIANA","1","1620607218993565",,,,,,14
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.;MENDES, Adriana N. A.;MENDES, ADRIANA","1","1620607218993565",,,,,,15
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.;MENDES, Adriana N. A.;MENDES, ADRIANA","1","1620607218993565",,,,,,16
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.;MENDES, Adriana N. A.;MENDES, ADRIANA","1","1620607218993565",,,,,,17
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.;MENDES, Adriana N. A.;MENDES, ADRIANA","1","1620607218993565",,,,,,18
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.;MENDES, Adriana N. A.;MENDES, ADRIANA","1","1620607218993565",,,,,,19
