NOME-COMPLETO-DO-AUTOR,NOME-PARA-CITACAO,ORDEM-DE-AUTORIA,NRO-ID-CNPQ,TRABALHO-EM-EVENTOS_Id,ARTIGO-PUBLICADO_Id,LIVRO-PUBLICADO-OU-ORGANIZADO_Id,CAPITULO-DE-LIVRO-PUBLICADO_Id,OUTRA-PRODUCAO-BIBLIOGRAFICA_Id,SOFTWARE_Id,TRABALHO-TECNICO_Id,CURSO-DE-CURTA-DURACAO-MINISTRADO_Id,OUTRA-PRODUCAO-TECNICA_Id
"Subramanian Rajagopalan","RAJAGOPALAN, S.","1","",0,,,,,,,,
"Sharad Malik","MALIK, S.","2","",0,,,,,,,,
"Sreeranga P. Rajan","RAJAN, S. P.","3","",0,,,,,,,,
"Sandro Rigo","RIGO, S.;Rigo, Sandro","4","8308517667746974",0,,,,,,,,
"Guido Araújo","ARAÚJO, Guido","5","8683914780987242",0,,,,,,,,
"Guilherme Ottoni","OTTONI, G.","1","1275788329193557",1,,,,,,,,
"Sandro Rigo","RIGO, S.;Rigo, Sandro","2","8308517667746974",1,,,,,,,,
"Guido Araújo","ARAÚJO, Guido","3","8683914780987242",1,,,,,,,,
"Subramanian Rajagopalan","RAJAGOPALAN, S.","4","",1,,,,,,,,
"Sharad Malik","MALIK, S.","5","",1,,,,,,,,
"Pablo Viana da Silva","SILVA, P. V.","1","0217522010967626",2,,,,,,,,
"Edna Barros","BARROS, Edna","2","6291354144339437",2,,,,,,,,
"Sandro Rigo","RIGO, S.;Rigo, Sandro","3","8308517667746974",2,,,,,,,,
"Guido Araújo","ARAÚJO, Guido","4","8683914780987242",2,,,,,,,,
"Rodolfo Jardim de Azevedo","AZEVEDO, Rodolfo Jardim de","5","2046981671187343",2,,,,,,,,
"Pablo Viana da Silva","SILVA, P. V.","1","0217522010967626",3,,,,,,,,
"Edna Barros","BARROS, Edna","2","6291354144339437",3,,,,,,,,
"Sandro Rigo","RIGO, S.;Rigo, Sandro","3","8308517667746974",3,,,,,,,,
"Guido Araújo","ARAÚJO, Guido","4","8683914780987242",3,,,,,,,,
"Rodolfo Jardim de Azevedo","AZEVEDO, Rodolfo Jardim de","5","2046981671187343",3,,,,,,,,
"Sandro Rigo","RIGO, S.;Rigo, Sandro","1","8308517667746974",4,,,,,,,,
"Marcio Juliato","JULIATO, Marcio","2","0199956644541177",4,,,,,,,,
"Rodolfo Jardim de Azevedo","AZEVEDO, Rodolfo Jardim de","3","2046981671187343",4,,,,,,,,
"Guido Araújo","ARAÚJO, Guido","4","8683914780987242",4,,,,,,,,
"Paulo Cesar Centoducatte","CENTODUCATTE, Paulo Cesar","5","0758877444698557",4,,,,,,,,
"Sandro Rigo","RIGO, S.;Rigo, Sandro","1","8308517667746974",5,,,,,,,,
"Guido Araújo","ARAÚJO, Guido","2","8683914780987242",5,,,,,,,,
"Marcus Bartholomeu","BARTHOLOMEU, Marcus","3","2913682696452678",5,,,,,,,,
"Rodolfo Jardim de Azevedo","AZEVEDO, Rodolfo Jardim de","4","2046981671187343",5,,,,,,,,
"Marcus Bartholomeu","BARTHOLOMEU, Marcus","1","2913682696452678",6,,,,,,,,
"Rodolfo Jardim de Azevedo","AZEVEDO, Rodolfo Jardim de","2","2046981671187343",6,,,,,,,,
"Sandro Rigo","RIGO, S.;Rigo, Sandro","3","8308517667746974",6,,,,,,,,
"Guido Araújo","ARAÚJO, Guido","4","8683914780987242",6,,,,,,,,
"Alexandro Baldassin","BALDASSIN, Alexandro","1","4738829911864396",7,,,,,,,,
"Paulo Cesar Centoducatte","CENTODUCATTE, Paulo Cesar","2","0758877444698557",7,,,,,,,,
"Sandro Rigo","RIGO, S.;Rigo, Sandro","3","8308517667746974",7,,,,,,,,
"Sandro Rigo","RIGO, S.;Rigo, Sandro","1","8308517667746974",8,,,,,,,,
"Rodolfo Jardim de Azevedo","AZEVEDO, Rodolfo Jardim de","2","2046981671187343",8,,,,,,,,
"Paulo César Centoducatte","CENTODUCATTE, Paulo César","3","0758877444698557",8,,,,,,,,
"Guido Araújo","ARAÚJO, Guido","4","8683914780987242",8,,,,,,,,
"Alexandro Baldassin","BALDASSIN, Alexandro","1","4738829911864396",9,,,,,,,,
"Paulo César Centoducatte","CENTODUCATTE, Paulo César","2","0758877444698557",9,,,,,,,,
"Sandro Rigo","RIGO, S.;Rigo, Sandro","3","8308517667746974",9,,,,,,,,
"Daniel Casarotto","CASAROTTO, D.","4","",9,,,,,,,,
"Luiz Claudio Villar dos Santos","SANTOS, L. C. V.","5","7115792628126490",9,,,,,,,,
"Max Schultz","SCHULTZ, M.","6","5153396376982283",9,,,,,,,,
"Olinto José Varella Furtado","FURTADO, O. J. V.","7","9156645330801555",9,,,,,,,,
"Fernando Kronbauer","KRONBAUER, Fernando","1","5347838085795671",10,,,,,,,,
"Alexandro Baldassin","BALDASSIN, Alexandro","2","4738829911864396",10,,,,,,,,
"Bruno de Carvalho Albertini","ALBERTINI, Bruno de Carvalho","3","2729012989571213",10,,,,,,,,
"Paulo César Centoducatte","CENTODUCATTE, Paulo César","4","0758877444698557",10,,,,,,,,
"Sandro Rigo","RIGO, S.;Rigo, Sandro","5","8308517667746974",10,,,,,,,,
"Guido Araújo","ARAÚJO, Guido","6","8683914780987242",10,,,,,,,,
"Rodolfo Azevedo","AZEVEDO, Rodolfo","7","2046981671187343",10,,,,,,,,
"Bruno de Carvalho Albertini","ALBERTINI, Bruno de Carvalho","1","2729012989571213",11,,,,,,,,
"Sandro Rigo","RIGO, S.;Rigo, Sandro","2","8308517667746974",11,,,,,,,,
"Guido Araújo","ARAÚJO, Guido","3","8683914780987242",11,,,,,,,,
"Cristiano Araújo","ARAÚJO, Cristiano","4","9638500605562489",11,,,,,,,,
"Edna Barros","BARROS, Edna","5","6291354144339437",11,,,,,,,,
"Wilians Azevedo","AZEVEDO, W.","6","8610421562377411",11,,,,,,,,
"Leonardo Piga","Leonardo Piga","1","5959617774140362",12,,,,,,,,
"Sandro Rigo","RIGO, S.;Rigo, Sandro","2","8308517667746974",12,,,,,,,,
"Gabriel Maicon Marcilio","MARCILIO, G.","1","",13,,,,,,,,
"Luiz Claudio Villar dos Santos","SANTOS, L. C. V.","2","7115792628126490",13,,,,,,,,
"Bruno de Carvalho Albertini","ALBERTINI, Bruno de Carvalho","3","2729012989571213",13,,,,,,,,
"Sandro Rigo","RIGO, S.;Rigo, Sandro","4","8308517667746974",13,,,,,,,,
"Emilio Wuerges","WUERGES, E.","1","1492948416649236",14,,,,,,,,
"Luiz Claudio Villar dos Santos","SANTOS, L. C. V.","2","7115792628126490",14,,,,,,,,
"Olinto José Varella Furtado","FURTADO, O. J. V.","3","9156645330801555",14,,,,,,,,
"Sandro Rigo","RIGO, S.;Rigo, Sandro","4","8308517667746974",14,,,,,,,,
"Fernando Kronbauer","KRONBAUER, Fernando","1","5347838085795671",15,,,,,,,,
"Sandro Rigo","RIGO, S.;Rigo, Sandro","2","8308517667746974",15,,,,,,,,
"Felipe Klein","KLEIN, F.","1","1606941011950531",16,,,,,,,,
"Alexandro Baldassin","BALDASSIN, Alexandro","2","4738829911864396",16,,,,,,,,
"João Batista Correa Gomes Moreira","MOREIRA, J. B. C. G.","3","6120040174866328",16,,,,,,,,
"Paulo César Centoducatte","CENTODUCATTE, Paulo César","4","0758877444698557",16,,,,,,,,
"Sandro Rigo","RIGO, S.;Rigo, Sandro","5","8308517667746974",16,,,,,,,,
"Rodolfo Azevedo","AZEVEDO, Rodolfo","6","2046981671187343",16,,,,,,,,
"Maxiwell Salvador Garcia","GARCIA, M. S.","1","9002376365287341",17,,,,,,,,
"Rodolfo Azevedo","AZEVEDO, Rodolfo","2","2046981671187343",17,,,,,,,,
"Sandro Rigo","RIGO, S.;Rigo, Sandro","3","8308517667746974",17,,,,,,,,
"Bruno de Carvalho Albertini","ALBERTINI, Bruno de Carvalho","1","2729012989571213",18,,,,,,,,
"Rodolfo Azevedo","AZEVEDO, Rodolfo","2","2046981671187343",18,,,,,,,,
"Sandro Rigo","RIGO, S.;Rigo, Sandro","3","8308517667746974",18,,,,,,,,
"Raul Kist","KIST, R.","1","5382069110292411",19,,,,,,,,
"Henrique Baggio","BAGGIO, H.","2","3670147213959399",19,,,,,,,,
"Sandro Rigo","RIGO, S.;Rigo, Sandro","3","8308517667746974",19,,,,,,,,
"Robledo Alencar","ALENCAR, R.","1","",20,,,,,,,,
"Sandro Rigo","RIGO, S.;Rigo, Sandro","2","8308517667746974",20,,,,,,,,
"Rodolfo Azevedo","AZEVEDO, Rodolfo","3","2046981671187343",20,,,,,,,,
