NOME-COMPLETO-DO-PARTICIPANTE-DA-BANCA,NOME-PARA-CITACAO-DO-PARTICIPANTE-DA-BANCA,ORDEM-PARTICIPANTE,NRO-ID-CNPQ,PARTICIPACAO-EM-BANCA-DE-MESTRADO_Id,PARTICIPACAO-EM-BANCA-DE-DOUTORADO_Id,PARTICIPACAO-EM-BANCA-DE-EXAME-QUALIFICACAO_Id,PARTICIPACAO-EM-BANCA-DE-GRADUACAO_Id,OUTRAS-BANCAS-JULGADORAS_Id
"Mariana de Azevedo Barretto Fix","FIX, M.","3","",0,,,,
"SAINT-CLAIR CORDEIRO DE TRINDADE JUNIOR","TRINDADE JUNIOR, S. C.","1","",0,,,,
"ANA CLÁUDIA DUARTE CARDOSO","CARDOSO, A. C. D.","2","",0,,,,
"Mariana de Azevedo Barretto Fix","Fix, Mariana","3","",1,,,,
"Everaldo Santos Melazzo","Melazzo, Everaldo Santos","1","",1,,,,
"Marcio José Catelan","Catelan, Marcio José","2","",1,,,,
"Mariana de Azevedo Barretto Fix","FIX, M.","3","",2,,,,
"Cláudio Schuller Maciel","MACIEL, C. S.","2","",2,,,,
"Maria Beatriz Cruz Rufino","RUFINO, M. B. C.","1","",2,,,,
"Mariana de Azevedo Barretto Fix","FIX, M.","1","",3,,,,
"Raquel Rolnik","Rolnik, Raquel","2","",3,,,,
"Heitor Frugoli","Frúgoli, Heitor","3","",3,,,,
"Mariana de Azevedo Barretto Fix","Fix, Mariana","3","",4,,,,
"Luis Fernando Massoneto","Massoneto, Luis Fernando","1","",4,,,,
"Diogo Rosenthal Coutinho","Coutinho, Diogo Rosenthal","2","",4,,,,
"Mariana de Azevedo Barretto Fix","Fix, Mariana","3","",5,,,,
"Orlando Alves dos Santos Junior","Santos Júnior, Orlando Alves","1","",5,,,,
"Luciana Correa do Lago","Lago, Luciana Correa","2","",5,,,,
"Mariana de Azevedo Barretto Fix","Fix, Mariana","3","",6,,,,
"Maria Beatriz Cruz Rufino","RUFINO, M. B. C.","2","",6,,,,
"Raquel Rolnik","Rolnik, Raquel","1","",6,,,,
"Mariana de Azevedo Barretto Fix","Fix, Mariana","4","",7,,,,
"Glauco Bienenstein","BIENENSTEIN, G.","2","",7,,,,
"Fabrício Leal de Oliveira","OLIVEIRA, F. L.","1","",7,,,,
"Carlos Brandão","BRANDAO, C.","3","",7,,,,
"Mariana de Azevedo Barretto Fix","Fix, Mariana","4","",8,,,,
"Lucia Shimbo","Shimbo, Lucia","3","",8,,,,
"Cibele Risek","RISEK, Cibele","1","",8,,,,
"Paulo Cesar Xavier Pereira","Pereira, Paulo Cesar Xavier","2","",8,,,,
"Mariana de Azevedo Barretto Fix","Fix, Mariana","1","",9,,,,
"Marcelo Proni","Proni, Marcelo","2","",9,,,,
"Mariana de Azevedo Barretto Fix","Fix, Mariana","1","",10,,,,
"Luciana Royer","ROYER, L.","2","",10,,,,
"Marcelo Proni","Proni, Marcelo","3","",10,,,,
"Mariana de Azevedo Barretto Fix","Fix, Mariana","4","",,0,,,
"Raquel Rolnik","Rolnik, Raquel","2","",,0,,,
"Wilson Cano","Cano, Wilson","1","",,0,,,
"Alete Moyses Rodrigues","Rogrigues, Arlete Moyses","3","",,0,,,
"Adauto Cardoso","Cardoso, Adauto","5","",,0,,,
"Mariana de Azevedo Barretto Fix","Fix, Mariana","1","",,1,,,
"Luís Fernando Massonetto","Massonetto, Luís Fernando","2","",,1,,,
"Diogo Rosenthal Coutinho","Coutinho, Diogo Rosenthal","3","",,1,,,
"Jeroen Klink","Klink, Jeroen","4","",,1,,,
"Mariana de Azevedo Barretto Fix","Fix, Mariana","2","",,2,,,
"Camila D'Ottaviano","D'Ottaviano, Camila","1","",,2,,,
"Maria Lucia Refinetti Martins","Martins, Maria Lucia Refinetti","3","",,2,,,
"Jefferson Oliveira Goulart","Goulart, Jefferson Oliveira","4","",,2,,,
"Maria Encarnação Beltrão","Beltrão, Maria Encarnação","5","",,2,,,
"Mariana de Azevedo Barretto Fix","Fix, Mariana","5","",,3,,,
"Rogério Palhares","PALHARES, R.","3","",,3,,,
"Denise Morado","Morado, Denise","1","",,3,,,
"Heloísa Costa","Costa, Heloísa","2","",,3,,,
"Juliana Torres de Miranda","Miranda, Juliana Torres","4","",,3,,,
"Mariana de Azevedo Barretto Fix","Fix, Mariana","1","",,,0,,
"Ana Maria de Oliveira Nusdeo","Nusdeo, Ana Maria de Oliveira","2","",,,0,,
"Luis Fernando Massoneto","Massoneto, Luis Fernando","3","",,,0,,
"Mariana de Azevedo Barretto Fix","Fix, Mariana","3","",,,1,,
"Luís Fernando Massonetto","Massonetto, Luís Fernando","1","",,,1,,
"Diogo Rosenthal Coutinho","Coutinho, Diogo Rosenthal","2","",,,1,,
"Mariana de Azevedo Barretto Fix","Fix, Mariana","3","",,,2,,
"Francisco Comaru","Comaru, Francisco","1","",,,2,,
"Silvana Maria Zioni","Zioni, Silvana","2","",,,2,,
"Mariana de Azevedo Barretto Fix","Fix, Mariana","3","",,,3,,
"Luciana Royer","ROYER, L.","1","",,,3,,
"Marcelo Proni","Proni, Marcelo","2","",,,3,,
"Mariana de Azevedo Barretto Fix","Fix, Mariana","1","",,,4,,
"Rogério Palhares","PALHARES, R.","2","",,,4,,
"Denise Morado","Morado, Denise","3","",,,4,,
"Mariana de Azevedo Barretto Fix","Fix, Mariana","3","",,,5,,
"Humberto Miranda do Nascimento","Nascimento, H. M.","1","",,,5,,
"Fernando Cezar de Macedo Mota","MOTA, F. C. M.","2","",,,5,,
"Mariana de Azevedo Barretto Fix","FIX, M.","3","",,,6,,
"Cláudio Schuller Maciel","MACIEL, C. S.","1","",,,6,,
"Humberto Miranda do Nascimento","Nascimento, H. M.","2","",,,6,,
"Mariana de Azevedo Barretto Fix","Fix, Mariana","1","",,,7,,
"Raquel Rolnik","Rolnik, Raquel","2","",,,7,,
"Lucia Shimbo","Shimbo, Lucia","3","",,,7,,
"Mariana de Azevedo Barretto Fix","FIX, M.","3","",,,8,,
"Fernando Cezar de Macedo Mota","MOTA, F. C. M.","2","",,,8,,
"Wilson Cano","Cano, Wilson","1","",,,8,,
"Mariana de Azevedo Barretto Fix","Fix, Mariana","1","",,,9,,
"Giselle Datz","Datz, Giselle","2","",,,9,,
