NOME-COMPLETO-DO-AUTOR,NOME-PARA-CITACAO,ORDEM-DE-AUTORIA,NRO-ID-CNPQ,TRABALHO-EM-EVENTOS_Id,ARTIGO-PUBLICADO_Id,LIVRO-PUBLICADO-OU-ORGANIZADO_Id,CAPITULO-DE-LIVRO-PUBLICADO_Id,TEXTO-EM-JORNAL-OU-REVISTA_Id,OUTRA-PRODUCAO-BIBLIOGRAFICA_Id,APRESENTACAO-DE-TRABALHO_Id,CURSO-DE-CURTA-DURACAO-MINISTRADO_Id,ORGANIZACAO-DE-EVENTO_Id,PROGRAMA-DE-RADIO-OU-TV_Id,RELATORIO-DE-PESQUISA_Id,OUTRA-PRODUCAO-TECNICA_Id,OUTRA-PRODUCAO-ARTISTICA-CULTURAL_Id,DEMAIS-TRABALHOS_Id
"Mariana de Azevedo Barretto Fix","FIX, M.","1","",0,,,,,,,,,,,,,
"Mariana de Azevedo Barretto Fix","FIX, M.","1","",1,,,,,,,,,,,,,
"Mariana de Azevedo Barretto Fix","FIX, M.","1","",2,,,,,,,,,,,,,
"Mariana de Azevedo Barretto Fix","FIX, M.","1","",3,,,,,,,,,,,,,
"Mariana de Azevedo Barretto Fix","FIX, M.","1","",4,,,,,,,,,,,,,
"Mariana de Azevedo Barretto Fix","DE AZEVEDO BARRETTO FIX, MARIANA","1","",5,,,,,,,,,,,,,
"MACEDO TONI, LÍVIA","MACEDO TONI, LÍVIA","2","",5,,,,,,,,,,,,,
"Mariana de Azevedo Barretto Fix","DE AZEVEDO BARRETTO FIX, MARIANA","1","",6,,,,,,,,,,,,,
"GOMES MAXIMILIANO, EDUARDO","GOMES MAXIMILIANO, EDUARDO","2","",6,,,,,,,,,,,,,
"Mariana de Azevedo Barretto Fix","DE AZEVEDO BARRETTO FIX, MARIANA","1","",7,,,,,,,,,,,,,
