NOME-COMPLETO-DO-AUTOR,NOME-PARA-CITACAO,ORDEM-DE-AUTORIA,NRO-ID-CNPQ,TRABALHO-EM-EVENTOS_Id,ARTIGO-PUBLICADO_Id,LIVRO-PUBLICADO-OU-ORGANIZADO_Id,CAPITULO-DE-LIVRO-PUBLICADO_Id,OUTRA-PRODUCAO-BIBLIOGRAFICA_Id,TRABALHO-TECNICO_Id,EDITORACAO_Id,ORGANIZACAO-DE-EVENTO_Id
"Juliano Lopes de Oliveira","OLIVEIRA, J. L.","1","8890030829542444",0,,,,,,,
"Claudia Maria Bauzer Medeiros","MEDEIROS, C. M. B.;Medeiros, Claudia Bauzer;MEDEIROS, C. B.","2","4643608666899616",0,,,,,,,
"Claudia Maria Bauzer Medeiros","MEDEIROS, C. M. B.;Medeiros, Claudia Bauzer;MEDEIROS, C. B.","1","4643608666899616",1,,,,,,,
"M-J Bellosta","BELLOSTA, M.","2","",1,,,,,,,
"Genevieve Jomier","JOMIER, Genevieve","3","",1,,,,,,,
"Claudia Maria Bauzer Medeiros","MEDEIROS, C. M. B.;Medeiros, Claudia Bauzer;MEDEIROS, C. B.","1","4643608666899616",2,,,,,,,
"Gottfried Vossen","VOSSEN, G.","2","",2,,,,,,,
"M. Weske","WESKE, M.","3","",2,,,,,,,
"Claudia Maria Bauzer Medeiros","MEDEIROS, C. M. B.;Medeiros, Claudia Bauzer;MEDEIROS, C. B.","1","4643608666899616",3,,,,,,,
"Gottfried Vossen","VOSSEN, G.","2","",3,,,,,,,
"M. Weske","WESKE, M.","3","",3,,,,,,,
"Mariano Cilia","CILIA, M.","1","",4,,,,,,,
"Claudia Maria Bauzer Medeiros","MEDEIROS, C. M. B.;Medeiros, Claudia Bauzer;MEDEIROS, C. B.","2","4643608666899616",4,,,,,,,
"Juliano Lopes de Oliveira","OLIVEIRA, J. L.","1","8890030829542444",5,,,,,,,
"Claudia Maria Bauzer Medeiros","MEDEIROS, C. M. B.;Medeiros, Claudia Bauzer;MEDEIROS, C. B.","2","4643608666899616",5,,,,,,,
"Cristina Dutra de Aguiar","AGUIAR, C. D. DE","1","",6,,,,,,,
"Claudia Maria Bauzer Medeiros","MEDEIROS, C. M. B.;Medeiros, Claudia Bauzer;MEDEIROS, C. B.","2","4643608666899616",6,,,,,,,
"Marcio de Araujo Botelho","BOTELHO, M. DE A.","1","",7,,,,,,,
"Claudia Maria Bauzer Medeiros","MEDEIROS, C. M. B.;Medeiros, Claudia Bauzer;MEDEIROS, C. B.","2","4643608666899616",7,,,,,,,
"Fatima Pires","PIRES, F.","1","",8,,,,,,,
"Claudia Maria Bauzer Medeiros","MEDEIROS, C. M. B.;Medeiros, Claudia Bauzer;MEDEIROS, C. B.","2","4643608666899616",8,,,,,,,
"R. F. Santos","SANTOS, R. F.","3","",8,,,,,,,
"Juliano Lopes de Oliveira","OLIVEIRA, J. L.","1","8890030829542444",9,,,,,,,
"Claudia Maria Bauzer Medeiros","MEDEIROS, C. M. B.;Medeiros, Claudia Bauzer;MEDEIROS, C. B.","2","4643608666899616",9,,,,,,,
"Marcos André Gonçalves","GONÇALVES, Marcos André","1","3457219624656691",10,,,,,,,
"Claudia Maria Bauzer Medeiros","MEDEIROS, C. M. B.;Medeiros, Claudia Bauzer;MEDEIROS, C. B.","2","4643608666899616",10,,,,,,,
"Juliano Lopes de Oliveira","OLIVEIRA, J. L.","1","8890030829542444",11,,,,,,,
"Nevton Cereja","CEREJA, N.","2","",11,,,,,,,
"Claudia Maria Bauzer Medeiros","MEDEIROS, C. M. B.;Medeiros, Claudia Bauzer;MEDEIROS, C. B.","3","4643608666899616",11,,,,,,,
"Claudia Maria Bauzer Medeiros","MEDEIROS, C. M. B.;Medeiros, Claudia Bauzer;MEDEIROS, C. B.","1","4643608666899616",12,,,,,,,
"Luis Mariano Del Val Cura","CURA, L. M. DEL V.","2","7038932501308861",12,,,,,,,
"Glaucia Faria","FARIA, G.","1","",13,,,,,,,
"Claudia Maria Bauzer Medeiros","MEDEIROS, C. M. B.;Medeiros, Claudia Bauzer;MEDEIROS, C. B.","2","4643608666899616",13,,,,,,,
"Mario Nascimento","NASCIMENTO, M.","3","",13,,,,,,,
"Marco Antonio Vaz Salles","SALLES, M. A. V.","1","1912726916708931",14,,,,,,,
"Fatima Pires","PIRES, F.","2","",14,,,,,,,
"Claudia Maria Bauzer Medeiros","MEDEIROS, C. M. B.;Medeiros, Claudia Bauzer;MEDEIROS, C. B.","3","4643608666899616",14,,,,,,,
"Juliano Lopes de Oliveira","OLIVEIRA, J. L.","4","8890030829542444",14,,,,,,,
"Marcos André Gonçalves","GONÇALVES, Marcos André","1","3457219624656691",15,,,,,,,
"Claudia Maria Bauzer Medeiros","MEDEIROS, C. M. B.;Medeiros, Claudia Bauzer;MEDEIROS, C. B.","2","4643608666899616",15,,,,,,,
"Claudia Maria Bauzer Medeiros","MEDEIROS, C. M. B.;Medeiros, Claudia Bauzer;MEDEIROS, C. B.","1","4643608666899616",16,,,,,,,
"A. R. Carvalho","CARVALHO, A. R.","2","",16,,,,,,,
"S. M. Lima","LIMA, S. M.","3","4931984507159395",16,,,,,,,
"Hélio Rubens Soares","SOARES, H. R.","1","4320720384000128",17,,,,,,,
"Claudia Maria Bauzer Medeiros","MEDEIROS, C. M. B.;Medeiros, Claudia Bauzer;MEDEIROS, C. B.","2","4643608666899616",17,,,,,,,
"M. Weske","WESKE, M.","1","",18,,,,,,,
"Gottfried Vossen","VOSSEN, G.","2","",18,,,,,,,
"Claudia Maria Bauzer Medeiros","MEDEIROS, C. M. B.;Medeiros, Claudia Bauzer;MEDEIROS, C. B.","3","4643608666899616",18,,,,,,,
"Fatima Pires","PIRES, F.","4","",18,,,,,,,
"Claudia Maria Bauzer Medeiros","MEDEIROS, C. M. B.;Medeiros, Claudia Bauzer;MEDEIROS, C. B.","1","4643608666899616",19,,,,,,,
"Genevieve Jomier","JOMIER, Genevieve","2","",19,,,,,,,
"Gilberto Camara","CAMARA, G.","1","0333390666972274",20,,,,,,,
"U. FREITAS","FREITAS, U.","2","0174582101174353",20,,,,,,,
"Marco Antonio Casanova","CASANOVA, M. A.","3","0400232298849115",20,,,,,,,
"R. SOUZA","SOUZA, R.","4","",20,,,,,,,
"A. Hemerly","HEMERLY, A.","5","",20,,,,,,,
"Claudia Maria Bauzer Medeiros","MEDEIROS, C. M. B.;Medeiros, Claudia Bauzer;MEDEIROS, C. B.","6","4643608666899616",20,,,,,,,
"Claudia Maria Bauzer Medeiros","MEDEIROS, C. M. B.;Medeiros, Claudia Bauzer;MEDEIROS, C. B.","1","4643608666899616",21,,,,,,,
"Marco Antonio Casanova","CASANOVA, M. A.","2","0400232298849115",21,,,,,,,
"Gilberto Camara","CAMARA, G.","3","0333390666972274",21,,,,,,,
"Angelo Roncalli Brayner","BRAYNER, A. R.","1","3895469714548887",22,,,,,,,
"Claudia Maria Bauzer Medeiros","MEDEIROS, C. M. B.;Medeiros, Claudia Bauzer;MEDEIROS, C. B.","2","4643608666899616",22,,,,,,,
"Mariano Cilia","CILIA, M.","1","",23,,,,,,,
"Claudia Maria Bauzer Medeiros","MEDEIROS, C. M. B.;Medeiros, Claudia Bauzer;MEDEIROS, C. B.","2","4643608666899616",23,,,,,,,
"Lincoln Cesar Medina de Oliveira","OLIVEIRA, L. C. M. DE","1","",24,,,,,,,
"Claudia Maria Bauzer Medeiros","MEDEIROS, C. M. B.;Medeiros, Claudia Bauzer;MEDEIROS, C. B.","2","4643608666899616",24,,,,,,,
"Claudia Maria Bauzer Medeiros","MEDEIROS, C. M. B.;Medeiros, Claudia Bauzer;MEDEIROS, C. B.","1","4643608666899616",25,,,,,,,
"Juliano Lopes de Oliveira","OLIVEIRA, J. L.","2","8890030829542444",25,,,,,,,
"Agnes Voisard","VOISARD, A.","1","",26,,,,,,,
"Claudia Maria Bauzer Medeiros","MEDEIROS, C. M. B.;Medeiros, Claudia Bauzer;MEDEIROS, C. B.","2","4643608666899616",26,,,,,,,
"Genevieve Jomier","JOMIER, Genevieve","3","",26,,,,,,,
"Claudia Maria Bauzer Medeiros","MEDEIROS, C. M. B.;Medeiros, Claudia Bauzer;MEDEIROS, C. B.","1","4643608666899616",27,,,,,,,
"Alexandre Alencar","ALENCAR, A.","2","",27,,,,,,,
"Juliano Lopes de Oliveira","OLIVEIRA, J. L.","1","8890030829542444",28,,,,,,,
"Claudia Maria Bauzer Medeiros","MEDEIROS, C. M. B.;Medeiros, Claudia Bauzer;MEDEIROS, C. B.","2","4643608666899616",28,,,,,,,
"Daniel dos Santos Kaster","KASTER, Daniel dos Santos","1","8013693656320228",29,,,,,,,
"Heloisa V Rocha","ROCHA, Heloisa V","2","6985892121344767",29,,,,,,,
"Claudia Maria Bauzer Medeiros","MEDEIROS, C. M. B.;Medeiros, Claudia Bauzer;MEDEIROS, C. B.","3","4643608666899616",29,,,,,,,
"Alysson B Prado","PRADO, A. B.","1","3903831975353292",30,,,,,,,
"Maria Cecilia Calani Baranauskas","BARANAUSKAS, Maria Cecilia Calani","2","1750385790843118",30,,,,,,,
"Claudia Maria Bauzer Medeiros","MEDEIROS, C. M. B.;Medeiros, Claudia Bauzer;MEDEIROS, C. B.","3","4643608666899616",30,,,,,,,
"Claudia Maria Bauzer Medeiros","MEDEIROS, C. M. B.;Medeiros, Claudia Bauzer;MEDEIROS, C. B.","1","4643608666899616",31,,,,,,,
"Daniel dos Santos Kaster","KASTER, Daniel dos Santos","2","8013693656320228",31,,,,,,,
"Heloisa V Rocha","ROCHA, Heloisa V","3","6985892121344767",31,,,,,,,
"Alysson B Prado","PRADO, A. B.","1","3903831975353292",32,,,,,,,
"Maria Cecilia Calani Baranauskas","BARANAUSKAS, Maria Cecilia Calani","2","1750385790843118",32,,,,,,,
"Claudia Maria Bauzer Medeiros","MEDEIROS, C. M. B.;Medeiros, Claudia Bauzer;MEDEIROS, C. B.","3","4643608666899616",32,,,,,,,
"Luis Mariano Del Val Cura","CURA, L. M. DEL V.","1","7038932501308861",33,,,,,,,
"Neucimar Jeronimo Leite","LEITE, N. J.","2","8647239680081745",33,,,,,,,
"Claudia Maria Bauzer Medeiros","MEDEIROS, C. M. B.;Medeiros, Claudia Bauzer;MEDEIROS, C. B.","3","4643608666899616",33,,,,,,,
"Andreia Silva Fagundes","FAGUNDES, A. S.","1","0504031647351454",34,,,,,,,
"Claudia Maria Bauzer Medeiros","MEDEIROS, C. M. B.;Medeiros, Claudia Bauzer;MEDEIROS, C. B.","2","4643608666899616",34,,,,,,,
"Renato Fileto","FILETO, Renato","1","6405951782839858",35,,,,,,,
"Carlos Alberto Meira","MEIRA, C. A.","2","",35,,,,,,,
"J. Naka","NAKA, J.","3","",35,,,,,,,
"Alvaro Seixas Neto","SEIXAS NETO, A.","4","",35,,,,,,,
"Claudia Maria Bauzer Medeiros","MEDEIROS, C. M. B.;Medeiros, Claudia Bauzer;MEDEIROS, C. B.","5","4643608666899616",35,,,,,,,
"Juliano Schimiguel","SCHIMIGUEL, Juliano","1","0047384210554210",36,,,,,,,
"Maria Cecilia Calani Baranauskas","BARANAUSKAS, Maria Cecilia Calani","2","1750385790843118",36,,,,,,,
"Claudia Maria Bauzer Medeiros","MEDEIROS, C. M. B.;Medeiros, Claudia Bauzer;MEDEIROS, C. B.","3","4643608666899616",36,,,,,,,
