TIPO,TITULO,ANO,PAIS,IDIOMA,NOME_DO_CANDIDATO
Doutorado,Métodos enzimáticos e não enzimáticos de reciclagem de NAD(P)H/NAD(P)+ em processos utilizando células e/ou enzimas isoladas,2009,Brasil,Português,Luis Gustavo de Souza Filho
Doutorado,Análises filogenéticas e estudo do metabolismo fenilpropanoídico em espécies de Piper,2013,Brasil,Português,Nídia Cristiane Yoshida
Doutorado,Estudos Metabólicos e Enzimáticos do Fungo Endofítico Penicillium brasilianum,2014,Brasil,Português,Taicia Pacheco Fill
Doutorado,Metabólitos Secundários Bioativos e Mediadores de Relação Predator/Presa de Invertebrados Marinhos,2012,Brasil,Português,Fábio Renato Pereira
Doutorado,"Investigação Biossintética, Transcriptômica e Proteômica em espécies de Piperaceae",2011,Brasil,Português,Fernando Contiguiba da Silva
Doutorado,Análise do transcriptoma de Trichoderma harzianum para a bioprospecção de enzimas hidrolíticas,2014,Brasil,Português,Maria Augusta Crivelente Horta
Doutorado,SÍNTESE DE POTENCIAIS INIBIDORES SELETIVOS DA COX-2 A PARTIR DE ADUTOS DE MORITA-BAYLIS-HILLMAN,2014,Brasil,Português,Luis Gustavo de Souza Filho
Doutorado,MORITA-BAYLIS-HILLMAN EM SÍNTESE. DIVERSIDADE ESTRUTURAL E AVALIAÇÃO BIOLÒGICA DE ESPIRO-HEXADIENONAS,2014,Brasil,Português,Lucimara Júlio Martins Barreiro
Doutorado,"PETRÓLEO: MICRO-ORGANISMOS, FRAÇÃO POLAR, PETROLEÔMICA E RAZÃO ISOTÓPICA",2014,Brasil,Português,Célio Fernando Figueiredo Angolini
Doutorado,ESTUDOS VISANDO À SÍNTESE E DETERMINAÇÃO ESTRUTURAL DO ALCALÓIDE PARVIESTEMOAMIDA. SÍNTESE FORMAL DOS ALCALÓIDES (+)- ESTEMOAMIDA E (+)-9A-EPI-ESTEMOAMIDA,2014,Brasil,Português,Gilmar Araújo Brito Júnior
Doutorado,"BIOINFORMATICS APPLIED TO NATURAL PRODUCTS DISCOVERY PROCESSES: SYSTEMATIZATION, BIOSYNTHETIC TENDENCIES, AND ISOLATION OF PROMISING SPECIES",2016,Brasil,Português,João Luiz Baldim Zanin
Doutorado,"Processos Biocatalíticos aplicando epóxido hidrolases, óxido redutases e transaminases",2015,Brasil,Português,Bruna Zucoloto da Costa
Doutorado,Potencial enzimático da microbiota da pele humana e sua ação sobre insumos de fragrâncias,2012,Brasil,Português,Carla Porto da Silva
Doutorado,"Biocatálise aplicada a síntese de núcleos beta-hidroxi-1,2,3-triazólicos e síntese multienzimática do alcalóide diidropinidina",2017,Brasil,Português,Natália Alvarenga da Silva
Doutorado,Estudo químico e de biossíntese de metabólitos secundários produzidos pelas linhagens fúngicas Roussoella sp. DLM33 e Annulohypoxylon moriforme MA9,2017,Brasil,Português,Everton Leandro de França Ferreira
Doutorado,"PLANEJAMENTO, SÍNTESE E AVALIAÇÃO BIOLÓGICA DE NOVOS COMPOSTOS NITROGENADOS",2017,Brasil,Português,Marilia Simão dos Santos
